0000110 | T.0x00007fae4fdfd700 | 2019-06-21, 02:16:22.675671 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 301560
0000111 | T.0x00007fae4fdfd700 | 2019-06-21, 02:16:22.675674 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000112 | T.0x00007fae4fdfd700 | 2019-06-21, 02:16:22.675677 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (27, 32739)
0000113 | T.0x00007fae4fdfd700 | 2019-06-21, 02:16:22.675680 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 25 extent: (25, 2) 0x7f5ee86804c8
0000114 | T.0x00007fae4fdfd700 | 2019-06-21, 02:16:22.675683 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x32006804c8) size: 301560
0000115 | T.0x00007fae4fdfd700 | 2019-06-21, 02:16:22.675687 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 296340
0000116 | T.0x00007fae4fdfd700 | 2019-06-21, 02:16:22.675690 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 296340 ig: 0
0000117 | T.0x00007fae4fdfd700 | 2019-06-21, 02:16:22.675694 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 296340
0000118 | T.0x00007fae4fdfd700 | 2019-06-21, 02:16:22.675697 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000119 | T.0x00007fae4fdfd700 | 2019-06-21, 02:16:22.675701 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (29, 32737)
