0000113 | T.0x00007f076c7ef700 | 2019-06-21, 02:20:17.278523 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 33) acquire_slab: locked
0000114 | T.0x00007f0764bfa700 | 2019-06-21, 02:20:17.278540 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 30 ig: 0
0000115 | T.0x00007f076c7ef700 | 2019-06-21, 02:20:17.278557 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000116 | T.0x00007f0764bfa700 | 2019-06-21, 02:20:17.278576 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 30
0000117 | T.0x00007f076c7ef700 | 2019-06-21, 02:20:17.278591 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (3, 32763)
0000118 | T.0x00007f076c7ef700 | 2019-06-21, 02:20:17.278619 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 35 extent: (2, 1) 0x7ecc180c04c8
0000119 | T.0x00007f076c7ef700 | 2019-06-21, 02:20:17.278828 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/process_slab_heap.cc, 50) acquire_slab: unlock 2
0000120 | T.0x00007f076c7ef700 | 2019-06-21, 02:20:17.278837 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x46000c04c8) block: 0
0000121 | T.0x00007f076c7ef700 | 2019-06-21, 02:20:17.278842 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000122 | T.0x00007f076c7ef700 | 2019-06-21, 02:20:17.278850 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x46000c0708) size: 60
0000123 | T.0x00007f076c7ef700 | 2019-06-21, 02:20:17.278856 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 60
0000124 | T.0x00007f0764bfa700 | 2019-06-21, 02:20:17.278863 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x46000804c8) block: 12
0000125 | T.0x00007f076c7ef700 | 2019-06-21, 02:20:17.278865 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 60 ig: 0
0000126 | T.0x00007f0764bfa700 | 2019-06-21, 02:20:17.278889 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000127 | T.0x00007f076c7ef700 | 2019-06-21, 02:20:17.278907 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 60
0000128 | T.0x00007f0764bfa700 | 2019-06-21, 02:20:17.278922 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x4600080a88) size: 30
0000129 | T.0x00007f076c7ef700 | 2019-06-21, 02:20:17.278940 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab.cc, 56) Allocate block: nvslab: (0xbeef, 0x46000c04c8) block: 1
0000130 | T.0x00007f0764bfa700 | 2019-06-21, 02:20:17.278955 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 30
0000131 | T.0x00007f076c7ef700 | 2019-06-21, 02:20:17.278973 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/slab_heap.cc, 40) Allocate block: new_fullness: 0 old_fullness: 0
0000132 | T.0x00007f0764bfa700 | 2019-06-21, 02:20:17.278988 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 30 ig: 0
0000133 | T.0x00007f076c7ef700 | 2019-06-21, 02:20:17.279004 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x46000c0748) size: 60
