0000102 | T.0x00007ff5d93f5700 | 2019-06-21, 02:36:35.738662 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 292560 ig: 0
0000103 | T.0x00007ff5d93f5700 | 2019-06-21, 02:36:35.738665 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 292560
0000104 | T.0x00007ff5d93f5700 | 2019-06-21, 02:36:35.738668 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000105 | T.0x00007ff5d93f5700 | 2019-06-21, 02:36:35.738671 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (23, 32743)
0000106 | T.0x00007ff5d93f5700 | 2019-06-21, 02:36:35.738675 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 12 extent: (21, 2) 0x7f8c6c5804c8
0000107 | T.0x00007ff5d93f5700 | 2019-06-21, 02:36:35.738679 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x18005804c8) size: 292560
0000108 | T.0x00007ff5d93f5700 | 2019-06-21, 02:36:35.738683 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 285420
0000109 | T.0x00007ff5d93f5700 | 2019-06-21, 02:36:35.738686 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 285420 ig: 0
0000110 | T.0x00007ff5d93f5700 | 2019-06-21, 02:36:35.738689 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 285420
0000111 | T.0x00007ff5d93f5700 | 2019-06-21, 02:36:35.738692 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000112 | T.0x00007ff5d93f5700 | 2019-06-21, 02:36:35.738696 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (25, 32741)
