0000111 | T.0x00007f83da7f8700 | 2019-06-21, 10:07:37.108123 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 4 extent: (21, 2) 0x7f0acfa264c8
0000112 | T.0x00007f83da7f8700 | 2019-06-21, 10:07:37.108126 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 391) Allocated block ptr: (0xbeef, 0x8005804c8) size: 304170
0000113 | T.0x00007f83da7f8700 | 2019-06-21, 10:07:37.108129 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 302610
0000114 | T.0x00007f83da7f8700 | 2019-06-21, 10:07:37.108133 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 302610 ig: 0
0000116 | T.0x00007f83da7f8700 | 2019-06-21, 10:07:37.108137 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 302610
0000115 | T.0x00007f83da4f5700 | 2019-06-21, 10:07:37.108134 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 380) Allocate block size: 297210
0000117 | T.0x00007f83da7f8700 | 2019-06-21, 10:07:37.108140 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentheap.hh, 116) malloc
0000118 | T.0x00007f83da4f5700 | 2019-06-21, 10:07:37.108152 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/globalheap_internal.cc, 400) Allocate block size: 297210 ig: 0
0000120 | T.0x00007f83da4f5700 | 2019-06-21, 10:07:37.108164 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/memattrib_heap.cc, 59) Allocate block size: 297210
0000119 | T.0x00007f83da7f8700 | 2019-06-21, 10:07:37.108159 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/extentmap.cc, 88) INSERT: (25, 32741)
0000121 | T.0x00007f83da7f8700 | 2019-06-21, 10:07:37.108176 [info] - (/home/ghosdebd/sparkle/alps/src/globalheap/zone.cc, 48) Allocated zone_id: 4 extent: (23, 2) 0x7f0acfaa64c8
